payout,currency,user_id,sale_amount,datetime,shop_name,shop_offset_hour
13.22,THB,1v1ACKMQhG,899.00,2020-02-02 13:20:38,SE,0
1.52,THB,2DrhRPvh7m,167.00,2020-02-02 16:50:21,SE,0
1.04,THB,2DrhRPvh7m,28.00,2020-02-02 16:50:21,SE,0
10.55,THB,2vAfnmKcZ4,718.00,2020-02-02 13:19:45,SE,0
87.56,THB,eN0v2rVAA0,2360.00,2020-02-02 13:18:01,SE,0
4.82,THB,8YuuMRRSxl,130.00,2020-02-02 06:02:00,SE,0
0.892,THB,34JZ96smzg,24.00,2020-02-02 11:14:43,SE,0
0.68,THB,Da1HYEO2Km,75.00,2020-02-02 16:49:18,SE,0
1.338,THB,34JZ96smzg,36.00,2020-02-02 11:14:43,SE,0
4.9,THB,1o4ZHE0OWc,539.00,2020-02-02 16:49:00,SE,0
19.34,THB,2xb3OKJDgO,2125.00,2020-02-02 11:14:23,SE,0
5.84,THB,lJZSZ2QjHR,642.00,2020-02-02 11:14:22,SE,0
1.81,THB,b5NdPaYi58,199.00,2020-02-02 15:04:44,SE,0
1.01,THB,6Ugx8AACPA,69.00,2020-02-02 11:13:05,SE,0
4.45,THB,YP8YnjnxSs,489.00,2020-02-02 16:48:05,SE,0
1.16,THB,OXmIcVXdnB,127.00,2020-02-02 13:13:00,SE,0
4.19,THB,2anl3kimX9,113.00,2020-02-02 15:01:19,SE,0
0.9295081967213116,THB,J8DBnBOdTS,63.00,2020-02-02 16:45:47,SE,0
0.8704918032786886,THB,J8DBnBOdTS,59.00,2020-02-02 16:45:47,SE,0
2.7785667752442995,THB,LQjbrY1d55,63.00,2020-02-02 16:45:46,SE,0
10.7614332247557,THB,LQjbrY1d55,244.00,2020-02-02 16:45:46,SE,0
0.01,THB,iyD7DmdYMH,1.00,2020-02-02 07:01:40,SE,0
5.15,THB,6ug3g6S1Fi,350.00,2020-02-02 13:09:24,SE,0
0.1726566757493188,THB,W2nCS18XIX,19.00,2020-02-02 16:44:10,SE,0
6.088667850799289,THB,1gYsFVpwIZ,414.00,2020-02-02 14:57:33,SE,0
1.5811716621253409,THB,W2nCS18XIX,174.00,2020-02-02 16:44:10,SE,0
2.1913321492007105,THB,1gYsFVpwIZ,149.00,2020-02-02 14:57:33,SE,0
2.36,THB,XpwrzyjaUA,259.00,2020-02-02 16:43:31,SE,0
2.4808038147138967,THB,W2nCS18XIX,273.00,2020-02-02 16:44:10,SE,0
0.508882833787466,THB,W2nCS18XIX,56.00,2020-02-02 16:44:10,SE,0
1.9264850136239784,THB,W2nCS18XIX,212.00,2020-02-02 16:44:10,SE,0
2.28,THB,2jqtwLyBJD,250.00,2020-02-02 14:57:06,SE,0
1.46,THB,d0KlxS4ku0,160.00,2020-02-02 13:04:19,SE,0
2.7486746987951807,THB,30RV5sndlI,187.00,2020-02-02 14:55:53,SE,0
0.6920851063829786,THB,pD3ecbheZp,76.00,2020-02-02 16:42:45,SE,0
2.7486746987951807,THB,30RV5sndlI,187.00,2020-02-02 14:55:53,SE,0
1.447914893617021,THB,pD3ecbheZp,159.00,2020-02-02 16:42:45,SE,0
2.7486746987951807,THB,30RV5sndlI,187.00,2020-02-02 14:55:53,SE,0
2.733975903614458,THB,30RV5sndlI,186.00,2020-02-02 14:55:53,SE,0
3.15,THB,hOsh2X5GJI,249.95,2020-02-02 11:02:49,SE,0
0.08068965517241379,THB,2hhUbG4QMj,9.00,2020-02-02 13:03:45,SE,0
0.21036585365853655,THB,39xsrZDnRc,23.00,2020-02-02 16:42:12,SE,0
0.12804878048780488,THB,39xsrZDnRc,14.00,2020-02-02 16:42:12,SE,0
0.1255172413793103,THB,2hhUbG4QMj,14.00,2020-02-02 13:03:45,SE,0
0.053793103448275856,THB,2hhUbG4QMj,6.00,2020-02-02 13:03:45,SE,0
0.4115853658536585,THB,39xsrZDnRc,45.00,2020-02-02 16:42:12,SE,0
0.053793103448275856,THB,2hhUbG4QMj,6.00,2020-02-02 13:03:45,SE,0
1.04,THB,t0QVGxLWfu,71.00,2020-02-02 11:02:33,SE,0
0.053793103448275856,THB,2hhUbG4QMj,6.00,2020-02-02 13:03:45,SE,0
2.7,THB,j4FLjWxQGz,297.00,2020-02-02 11:02:18,SE,0
0.8199999999999998,THB,HhGhHgMO90,90.00,2020-02-02 14:53:37,SE,0
0.053793103448275856,THB,2hhUbG4QMj,6.00,2020-02-02 13:03:45,SE,0
0.6186206896551724,THB,2hhUbG4QMj,69.00,2020-02-02 13:03:45,SE,0
47.55,THB,1fqQzAfZIv,999.00,2020-02-02 11:01:37,SE,0
2.09,THB,2BQvchYjZ9,142.00,2020-02-02 16:38:59,SE,0
5.978052283826487,THB,8Bq7SR6JoW,140.00,2020-02-02 13:01:18,SE,0
142.6619477161735,THB,8Bq7SR6JoW,3341.00,2020-02-02 13:01:18,SE,0
1.43,THB,Ribbxku44s,97.00,2020-02-02 13:01:11,SE,0
1.16,THB,1mYKwN4uB8,79.00,2020-02-02 16:38:26,SE,0
0.01,THB,1mYKwN4uB8,1.00,2020-02-02 16:38:26,SE,0
0.01,THB,1mYKwN4uB8,1.00,2020-02-02 16:38:26,SE,0
0.01,THB,1mYKwN4uB8,1.00,2020-02-02 16:38:26,SE,0
2.15,THB,tph6ytwr2b,236.00,2020-02-02 11:00:13,SE,0
0.04,THB,1mYKwN4uB8,1.00,2020-02-02 16:38:26,SE,0
0.04,THB,1mYKwN4uB8,1.00,2020-02-02 16:38:26,SE,0
0.04,THB,1mYKwN4uB8,1.00,2020-02-02 16:38:26,SE,0
0.8999999999999999,THB,3AaVB0IAeA,99.00,2020-02-02 16:38:25,SE,0
0.04,THB,1mYKwN4uB8,1.00,2020-02-02 16:38:26,SE,0
0.04,THB,1mYKwN4uB8,1.00,2020-02-02 16:38:26,SE,0
0.04,THB,1mYKwN4uB8,1.00,2020-02-02 16:38:26,SE,0
29.27,THB,WeopzNp8R6,789.00,2020-02-02 12:59:02,SE,0
5.57,THB,22PdzxIh3y,150.00,2020-02-02 10:58:41,SE,0
0.77,THB,2kwIucBwxY,85.00,2020-02-02 16:35:59,SE,0
0.371816513761468,THB,1o4ZHE0OWc,40.80,2020-02-02 16:35:23,SE,0
1.1209174311926609,THB,1o4ZHE0OWc,123.00,2020-02-02 16:35:23,SE,0
1.4872660550458718,THB,1o4ZHE0OWc,163.20,2020-02-02 16:35:23,SE,0
4.55,THB,2tf3Qdnr9l,500.00,2020-02-02 10:55:13,SE,0
0.13630434782608694,THB,3CkdQ3p9fn,15.00,2020-02-02 14:49:07,SE,0
0.1272173913043478,THB,3CkdQ3p9fn,14.00,2020-02-02 14:49:07,SE,0
0.3725652173913043,THB,3CkdQ3p9fn,41.00,2020-02-02 14:49:07,SE,0
0.2726086956521739,THB,3CkdQ3p9fn,30.00,2020-02-02 14:49:07,SE,0
24.27,THB,WGT0UIrVR8,475.00,2020-02-02 14:48:41,SE,0
0.13630434782608694,THB,3CkdQ3p9fn,15.00,2020-02-02 14:49:07,SE,0
0.1544782608695652,THB,3CkdQ3p9fn,17.00,2020-02-02 14:49:07,SE,0
0.1544782608695652,THB,3CkdQ3p9fn,17.00,2020-02-02 14:49:07,SE,0
0.1272173913043478,THB,3CkdQ3p9fn,14.00,2020-02-02 14:49:07,SE,0
0.4725217391304347,THB,3CkdQ3p9fn,52.00,2020-02-02 14:49:07,SE,0
0.13630434782608694,THB,3CkdQ3p9fn,15.00,2020-02-02 14:49:07,SE,0
0.03712230215827338,THB,iuNba7zPIm,1.00,2020-02-02 10:37:22,SE,0
2.041726618705036,THB,iuNba7zPIm,55.00,2020-02-02 10:37:22,SE,0
2.041726618705036,THB,iuNba7zPIm,55.00,2020-02-02 10:37:22,SE,0
0.03712230215827338,THB,iuNba7zPIm,1.00,2020-02-02 10:37:22,SE,0
0.03712230215827338,THB,iuNba7zPIm,1.00,2020-02-02 10:37:22,SE,0
0.965179856115108,THB,iuNba7zPIm,26.00,2020-02-02 10:37:22,SE,0
5.94,THB,2qyrzolqKw,139.00,2020-02-02 16:32:52,SE,0
0.27,THB,wWhBIO2X5g,30.00,2020-02-02 16:31:43,SE,0
0.27,THB,wWhBIO2X5g,30.00,2020-02-02 16:31:43,SE,0
3.12,THB,1o4ZHE0OWc,84.00,2020-02-02 16:31:27,SE,0
1.82,THB,zDdXjrS5ai,200.00,2020-02-02 14:43:06,SE,0
8.54,THB,zDdXjrS5ai,200.00,2020-02-02 14:43:06,SE,0
4.94,THB,2oP6iw1shl,336.00,2020-02-02 16:26:01,SE,0
8.16,THB,1nnRj4C00c,185.00,2020-02-02 14:42:20,SE,0
3.402608695652174,THB,nLCmUul5L7,43.00,2020-02-02 16:25:37,SE,0
8.16,THB,1nnRj4C00c,185.00,2020-02-02 14:42:20,SE,0
2.057391304347826,THB,nLCmUul5L7,26.00,2020-02-02 16:25:37,SE,0
5.08,THB,yIAyuepU6U,119.00,2020-02-02 16:25:35,SE,0
5.08,THB,yIAyuepU6U,119.00,2020-02-02 16:25:35,SE,0
20.89,THB,His4cKLPzm,328.00,2020-02-02 10:42:20,SE,0
15.25,THB,BuzphmMUu8,269.00,2020-02-02 14:39:59,SE,0
8.61,THB,vDvQvNCzG2,946.00,2020-02-02 16:24:23,SE,0
48.35,THB,EUaIVkoYez,3289.00,2020-02-02 14:39:31,SE,0
0.49326346153846146,THB,2b22T1UtAz,13.29,2020-02-02 12:50:14,SE,0
1.4367365384615385,THB,2b22T1UtAz,38.71,2020-02-02 12:50:14,SE,0
1.21125,THB,EXmjGM8vdQ,133.00,2020-02-02 10:39:08,SE,0
1.33875,THB,EXmjGM8vdQ,147.00,2020-02-02 10:39:08,SE,0
0.09,THB,2bBzkSgZrk,7.50,2020-02-02 14:39:07,SE,0
2.0,THB,3AaVB0IAeA,220.00,2020-02-02 16:23:09,SE,0
2.0,THB,3AaVB0IAeA,220.00,2020-02-02 16:23:09,SE,0
2.18,THB,2WHWQp6AH3,240.00,2020-02-02 16:22:41,SE,0
0.368421052631579,THB,2T4vvRnkKe,25.00,2020-02-02 10:36:16,SE,0
2.603658536585366,THB,2rI1Fi2Uez,61.00,2020-02-02 14:38:27,SE,0
0.19157894736842107,THB,2T4vvRnkKe,13.00,2020-02-02 10:36:16,SE,0
2.91,THB,nsu5SsQOVR,198.00,2020-02-02 16:22:27,SE,0
